[ 04-26 19:37:02.761 INFO  ] RAM: 13.78 MB
[ 04-26 19:37:02.763 INFO  ] Graphics Mode: true
[ 04-26 19:37:02.763 INFO  ] Standalone: true
[ 04-26 19:37:02.764 INFO  ] Updating Directory:   D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Working Directory:    D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:37:02.764 INFO  ] Executable Directory: D:/522mtr/mc522mtr-online-pcl-4.0-1.18.2
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/04/04d00bc852751498fad759fe473fef917b51c55d
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/04/04d181f5f4d61d2215175a1e63e7caaf9b624ab2
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/04/04fc1df879b3e9e0edf03bce26f8a285d412d0fc
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/050ee8116a49e7788e4191a22417b59b4eba8456
[ 04-26 19:51:34.864 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/0556f8b2dc424e7368b4ab9f8a315aa26982e3fc
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/056393a33a9633685c3dc3be2887f5cbd7dbc63f
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/057ab504f5f407ecca355b4b79a0e1c1f75060cf
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/058c46ac658ac3657b31d5395ecec39bf1146b39
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/05baaf5ed0cbdab08292b3962e1b1385e13b9dba
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/05bb8272e6d747d0f94025d4078c2649a889c877
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/05ca1dd611234562c9718ca29ffbe97cea98b3e1
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/05/05f429069e65d78f7e6609d070a3f294cc3128ab
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/06/0609325e1813f45bf6ba112172faa174f277c2ad
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/06/0671f582b7c77b8cd33e82f8fdd6d1e95a7f6fb8
[ 04-26 19:51:34.865 DEBUG ] [4.0] old files: .minecraft/assets/objects/06/06ce29eac0d1426bd490afca4cb29d6ce91b8b42
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/06/06d087c7afeb3c26fe37cd38b247a7c91d2c58eb
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/06/06dafda29984d98c81df8cd5edeca2e96599f1f4
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/070f6bd78bcbf7a504a340870c713bfddbe030d6
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/0714e023bd5b42e409b1aa12aee17376810282fe
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/072089b5c336cf62fc003f4b4a63c4740f4931df
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/072397f08683ce80e7ab2511b19bbc8f4816f125
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/07373cce0250d335443998231c8a9e3ef7531e9f
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/075d6480757c1595c5824fe3c88c3381b92d539d
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/075e1ea92d5564d7bdf267ae975044315a41a686
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/0760f75c8aca96e03e046c892e6b15276ee7991d
[ 04-26 19:51:34.866 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/0787b86bb65d6a69fb719cb09cd4b58ba1b778ce
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/078e5b192d732ebd9a5c2171782173e3ded20ace
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/0799c5f2fa436ea112c0e049d5aaa182d54caeb2
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/07/07e4229530b8af66f1d23486582b8f0c396a085c
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/08097e274026f60645970053264d62fc91018a97
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/0811423a3fb1a8e53010b1d9a4994aa8a9fe714f
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/081ace8eafec0b668fd5d164f2a91e9ce84b5d41
[ 04-26 19:51:34.867 DEBUG ] [4.0] old files: .minecraft/assets/objects/08/083256ad8eede9ca7191b7667971070429d824cc
